Wavelength (nm);BWL;LWL;SWL;DL
652;2,67405;1,19708;0,0800822;0,0649511
653;2,55607;1,04573;0,0923174;0,0644652
654;2,45521;0,91451;0,10366;0,0635845
655;2,36198;0,792251;0,114605;0,0625282
656;2,27826;0,718517;0,105029;0,0620423
657;2,19663;0,652031;0,0923181;0,0616454
658;2,12935;0,574402;0,0826191;0,0612114
659;2,06055;0,505145;0,0760232;0,0608546
660;1,98634;0,465609;0,0804422;0,0607716
661;1,91367;0,425312;0,0826697;0,0595968
662;1,84325;0,3839;0,0816852;0,0568219
663;1,77949;0,35128;0,0728275;0,0553945
664;1,72026;0,324613;0,0586397;0,0548794
665;1,66792;0,296937;0,0546594;0,0553248
666;1,6174;0,268995;0,0533602;0,0560226
667;1,55365;0,241331;0,0519983;0,0552339
668;1,49326;0,218687;0,0510106;0,0542175
669;1,44688;0,216336;0,0515385;0,0523245
670;1,40373;0,214003;0,0444873;0,051662
671;1,36524;0,211698;0,0264763;0,0527787
672;1,32339;0,190809;0,0396613;0,0510703
673;1,27952;0,158741;0,0716141;0,0476621
674;1,22916;0,143967;0,0444107;0,0474077
675;1,1798;0,133677;0,00966137;0,0475682
676;1,15945;0,140681;0,0186536;0,0455641
677;1,13102;0,13922;0,0359742;0,0441179
678;1,08384;0,118093;0,0726437;0,0439679
679;1,0507;0,113963;0,0777503;0,0433295
680;1,02968;0,124524;0,0555781;0,0422689
681;0,999041;0,121036;0,0344483;0,0411793
682;0,965824;0,113799;0,0143608;0,0400895
683;0,941033;0,119052;0,02674;0,0393597
684;0,910669;0,116364;0,0358455;0,0386786
685;0,865454;0,092509;0,0362268;0,0381276
686;0,835331;0,084993;0,0366328;0,0368987
687;0,818681;0,0920624;0,0370609;0,0350647
688;0,794286;0,0913889;0,0540286;0,0353563
689;0,767529;0,0879575;0,0732947;0,0360175
690;0,735747;0,0726076;0,0555429;0,0332111
691;0,71133;0,0654174;0,0401845;0,0317476
692;0,702219;0,0751812;0,0297989;0,0330741
693;0,676538;0,0786743;0,0121934;0,0337828
694;0,639831;0,0779951;0,0102158;0,0340804
695;0,613639;0,0671071;0,00253648;0,0328576
696;0,591369;0,0630395;0,0161534;0,0319994
697;0,581603;0,0999608;0,0103621;0,0339896
698;0,557986;0,106415;0,0216958;0,0340057
699;0,517931;0,0767181;0,0533502;0,0316791
700;0,515768;0,0703148;0,0399009;0,0305392
701;0,523714;0,0722484;0,0108522;0,0297844
702;0,490842;0,0864509;0,0323835;0,0289558
703;0,465452;0,092221;0,0505105;0,0283236
704;0,453392;0,0829691;0,0239081;0,0280412
705;0,439113;0,0733356;0,0223611;0,0261486
706;0,423742;0,0635145;0,0331353;0,0234642
707;0,38801;0,0448635;0,0301814;0,0241209
708;0,36479;0,032031;0,0178392;0,0247937
709;0,370436;0,0326009;0,0152471;0,0253974
710;0,343832;0,0484109;0,0252562;0,0235364
711;0,298544;0,0730509;0,0218941;0,0202474
712;0,311893;0,0634132;0,0490264;0,0208898
713;0,31342;0,0532576;0,0605588;0,021251
714;0,282331;0,0448607;0,0331091;0,020617
715;0,253103;0,0424985;0,0235989;0,0196172
716;0,224915;0,0435086;0,0241135;0,0184131
717;0,237742;0,0652168;0,00260979;0,0147872
718;0,233963;0,0742273;0,00242534;0,0133886
719;0,196832;0,0579929;0,0251651;0,016389
720;0,159515;0,0225477;0,0173133;0,0182287
721;0,124742;0,0157174;0,0052929;0,0194944
722;0,133356;0,038411;0,0153377;0,0196693
723;0,143442;0,0565938;0,0300023;0,0178048
724;0,155529;0,0258724;0,0509521;0,0131656
725;0,131741;0,00678529;0,0812356;0,0130592
726;0,100112;0,000787159;0,0992127;0,0133299
727;0,0751799;0,0433495;0,0464366;0,00980402
728;0,0589973;0,0799897;0,00442298;0,0105163
729;0,0498592;0,111862;0,0289256;0,0146409
730;0,023477;0,0646497;0,00131929;0,0119233
731;0,0199325;0,0363189;0,0243063;0,0107782
732;0,0642869;0,0557337;0,0247699;0,0136412
733;0,0441071;0,0442946;0,0298099;0,0124287
734;0,00806852;0,0279315;0,0349032;0,00984274
735;0,0242396;0,0539221;0,0292841;0,00812069
736;0,00981569;0,069675;0,0161131;0,00698364
737;0,0306706;0,0767067;0,00349101;0,00634494
738;0,0415213;0,0424161;0,022353;0,0102875
739;0,0444898;0,0197773;0,0322521;0,011162
740;0,0365616;0,0204597;0,0111781;0,00642923
741;0,061783;0,0545605;0,0191865;0,00754608
742;0,0853639;0,0787423;0,0617704;0,0101292
743;0,0726633;0,0372112;0,199487;0,0124996
744;0,102777;0,0532058;0,179677;0,00897573
745;0,148505;0,093054;0,0862467;0,00270963
746;0,125066;0,0682552;0,088186;0,000136095
747;0,0976296;0,0838766;0,0659618;0,00235331
748;0,0667286;0,134538;0,0227904;0,00872357
749;0,0279428;0,0235556;0,123724;0,0103132
750;0,0373203;0,060505;0,145307;0,0107538
751;0,108698;0,106663;0,0620343;0,00981794
752;0,0686252;0,043339;0,00041864;0,00827124
753;0,0674569;0,0111355;0,0075459;0,00714666
754;0,158013;0,0275628;0,0751667;0,00689508
755;0,19917;0,0309862;0,163345;0,00388474
756;0,216233;0,0182781;0,21352;0,00210889
757;0,201353;0,0252317;0,174196;0,00445095
758;0,191166;0,00827941;0,132089;0,00525887
759;0,192297;0,0565786;0,118286;0,00504109
760;0,22075;0,0872427;0,183724;0,00318165
761;0,300066;0,0658363;0,104753;0,0100471
762;0,376482;0,0241394;0,0184952;0,0171744
763;0,396572;0,0284383;0,0464148;0,0168777
764;0,303627;0,000124866;0,130614;0,00616139
765;0,213718;0,00461788;0,196409;0,000926733
766;0,238123;0,13554;0,156985;0,0120965
767;0,293711;0,247238;0,138956;0,0105002
768;0,348456;0,290377;0,094015;0,00847673
769;0,377787;0,183399;0,0341969;0,0163129
770;0,280839;0,101286;0,119374;0,0117435
771;0,244812;0,0601417;0,26295;0,00796885
772;0,391197;0,0890743;0,251532;0,0117279
773;0,37023;0,00777727;0,207107;0,0105413
774;0,321828;0,0757178;0,148411;0,0155419
775;0,271536;0,136806;0,0761395;0,0309141
776;0,228801;0,0701587;0,0737386;0,0191902
777;0,222741;0,11258;0,126822;0,0175435
778;0,252602;0,265515;0,221183;0,0276195
779;0,246527;0,188333;0,0535802;0,0288538
780;0,244106;0,157566;0,0132321;0,0293459
